minecraft:item_frame,_model__mc_block_item_frame
minecraft:mossy_stone_brick_stairs,_mc_block_mossy_stone_bricks
minecraft:mossy_stone_brick_wall,_mc_block_mossy_stone_bricks
minecraft:mossy_stone_bricks,_mc_block_mossy_stone_bricks
minecraft:moving_piston,stone
minecraft:mud,_mc_block_packed_mud
minecraft:mud_brick_slab,_mc_block_mud_bricks
minecraft:mud_brick_stairs,_mc_block_mud_bricks
minecraft:mud_brick_wall,_mc_block_mud_bricks
minecraft:mud_bricks,_mc_block_mud_bricks
minecraft:muddy_mangrove_roots,_mc_block_mushroom_stem
minecraft:mushroom_stem,_mc_block_mushroom_stem
minecraft:mycelium,_mc_block_mycelium_top
minecraft:nether_brick_fence,_mc_block_nether_bricks
minecraft:nether_brick_slab,_mc_block_nether_bricks
minecraft:nether_brick_stairs,_mc_block_nether_bricks
minecraft:nether_brick_wall,_mc_block_nether_bricks
minecraft:nether_bricks,_mc_block_nether_bricks
minecraft:nether_gold_ore,_mc_block_nether_gold_ore
minecraft:nether_portal,_mc_block_nether_portal
minecraft:nether_quartz_ore,_mc_block_nether_quartz_ore
minecraft:nether_sprouts,_model__mc_block_nether_sprouts
minecraft:nether_wart,_mc_block_nether_wart_block
minecraft:nether_wart_block,_mc_block_nether_wart_block
minecraft:netherite_block,_mc_block_netherite
minecraft:netherrack,_mc_block_netherrack
minecraft:note_block,_mc_block_note_block
minecraft:oak_button,_prefabs/_minecraft/misc/button.map
minecraft:oak_door,_model__mc_block_oak_door
minecraft:oak_fence,_model__mc_block_fence_post_oak
minecraft:oak_fence_gate,_mc_block_oak_planks
minecraft:leaves:0,_mc_block_oak_leaves_forest
minecraft:log:0,_mc_block_oak_log
minecraft:oak_planks,_mc_block_oak_planks
minecraft:oak_pressure_plate,_model__mc_block_pressure_plate_oak_up
minecraft:oak_sapling,_mc_block_oak_planks
minecraft:oak_sign,_prefabs/_minecraft/Misc/sign.map
minecraft:oak_slab,_mc_block_oak_planks
minecraft:oak_stairs,_mc_block_oak_planks
minecraft:oak_trapdoor,_model__mc_block_oak_trapdoor
minecraft:oak_wall_sign,_prefabs/_minecraft/Misc/sign.map
minecraft:oak_wood,_mc_block_oak_log
minecraft:observer,_mc_block_observer_front
minecraft:obsidian,_mc_block_obsidian
minecraft:ochre_froglight,_mc_block_ochre_froglight_side
minecraft:orange_banner,_model__mc_block_banner_orange
minecraft:orange_bed,_model__mc_block_bed_orange
minecraft:orange_candle,_model__mc_block_candle
minecraft:orange_candle_cake,_mc_block_wool_orange
minecraft:orange_carpet,_model__mc_block_wool_carpet_orange
minecraft:orange_concrete,_mc_block_concrete_orange
minecraft:orange_concrete_powder,_mc_block_concrete_powder_orange
minecraft:orange_glazed_terracotta,_mc_block_glazed_terracotta_orange
minecraft:orange_shulker_box,stone
minecraft:orange_stained_glass,_mc_block_stained_glass_orange
minecraft:orange_stained_glass_pane,_mc_block_stained_glass_orange
minecraft:orange_terracotta,_mc_block_terracotta_orange
minecraft:orange_tulip,_model__mc_block_potted_orange_tulip
minecraft:orange_wall_banner,_model__mc_block_banner_hanging_orange
minecraft:orange_wool,_mc_block_wool_orange
minecraft:oxeye_daisy,_model__mc_block_oxeye_daisy
minecraft:oxidized_copper,_mc_block_oxidized_copper
minecraft:oxidized_cut_copper,_mc_block_oxidized_cut_copper
minecraft:oxidized_cut_copper_slab,_mc_block_oxidized_cut_copper
minecraft:oxidized_cut_copper_stairs,_mc_block_oxidized_cut_copper
minecraft:packed_ice,_mc_block_packed_ice
minecraft:packed_mud,_mc_block_packed_mud
minecraft:pearlescent_froglight,_mc_block_pearlescent_froglight_side
minecraft:peony,_model__mc_block_peony_bottom
minecraft:petrified_oak_slab,stone
minecraft:pink_banner,_model__mc_block_banner_pink
minecraft:pink_bed,_model__mc_block_bed_pink
minecraft:pink_candle,_model__mc_block_candle
minecraft:pink_candle_cake,_mc_block_wool_pink
minecraft:pink_carpet,_model__mc_block_wool_carpet_pink
minecraft:pink_concrete,_mc_block_concrete_pink
minecraft:pink_concrete_powder,_mc_block_concrete_powder_pink
minecraft:pink_glazed_terracotta,_mc_block_glazed_terracotta_pink
minecraft:pink_shulker_box,stone
minecraft:pink_stained_glass,_mc_block_stained_glass_pink
minecraft:pink_stained_glass_pane,_mc_block_stained_glass_pink
minecraft:pink_terracotta,_mc_block_terracotta_pink
minecraft:pink_tulip,_model__mc_block_pink_tulip
minecraft:pink_wall_banner,_model__mc_block_banner_hanging_pink
minecraft:pink_wool,_mc_block_wool_pink
minecraft:piston,_model__mc_block_piston_static
minecraft:piston_head,_mc_block_piston_top
minecraft:player_head,_model__mc_block_player_head
minecraft:player_wall_head,_model__mc_block_player_head
minecraft:podzol,_mc_block_podzol_top
minecraft:pointed_dripstone,_mc_block_pointed_dripstone_dark
minecraft:stone:6,_mc_block_polished_andesite
minecraft:polished_andesite_slab,_mc_block_polished_andesite
minecraft:polished_andesite_stairs,_mc_block_polished_andesite
minecraft:polished_basalt,_mc_block_polished_basalt_top
minecraft:polished_blackstone,_mc_block_polished_blackstone
minecraft:polished_blackstone_brick_slab,_mc_block_polished_blackstone_bricks
minecraft:polished_blackstone_brick_stairs,_mc_block_polished_blackstone_bricks
minecraft:polished_blackstone_brick_wall,_mc_block_polished_blackstone_bricks
minecraft:polished_blackstone_bricks,_mc_block_polished_blackstone_bricks
minecraft:polished_blackstone_button,_prefabs/_minecraft/misc/button.map
minecraft:polished_blackstone_pressure_plate,_model__mc_block_pressure_plate_polished_blackstone_up
minecraft:polished_blackstone_slab,_mc_block_polished_blackstone
minecraft:polished_blackstone_stairs,_mc_block_polished_blackstone
minecraft:polished_blackstone_wall,_mc_block_polished_blackstone
minecraft:polished_deepslate,_mc_block_polished_deepslate
minecraft:polished_deepslate_slab,_mc_block_polished_deepslate
minecraft:polished_deepslate_stairs,_mc_block_polished_deepslate
minecraft:polished_deepslate_wall,_mc_block_polished_deepslate
minecraft:polished_diorite,_mc_block_polished_diorite
minecraft:polished_diorite_slab,_mc_block_polished_diorite
minecraft:polished_diorite_stairs,_mc_block_polished_diorite
minecraft:polished_granite,_mc_block_polished_granite
minecraft:polished_granite_slab,_mc_block_polished_granite
minecraft:polished_granite_stairs,_mc_block_polished_granite
minecraft:poppy,_model__mc_block_poppy
minecraft:potatoes,_model__mc_block_crop_potatoes_stage3
minecraft:potted_acacia_sapling,_model__mc_block_potted_acacia_sapling
minecraft:potted_allium,_model__mc_block_potted_allium
minecraft:potted_azalea_bush,_model__mc_block_potted_azalea_bush
minecraft:potted_azure_bluet,_model__mc_block_potted_azure_bluet
minecraft:potted_bamboo,_model__mc_block_potted_bamboo
minecraft:potted_birch_sapling,_model__mc_block_potted_birch_sapling
minecraft:potted_blue_orchid,_model__mc_block_potted_blue_orchid
minecraft:potted_brown_mushroom,_model__mc_block_potted_brown_mushroom
minecraft:potted_cactus,_model__mc_block_potted_cactus
minecraft:potted_cornflower,_model__mc_block_potted_cornflower
minecraft:potted_crimson_fungus,_model__mc_block_potted_crimson_fungus
minecraft:potted_crimson_roots,_model__mc_block_potted_crimson_roots
minecraft:potted_dandelion,_model__mc_block_potted_dandelion
minecraft:potted_dark_oak_sapling,_model__mc_block_potted_dark_oak_sapling
minecraft:potted_dead_bush,_model__mc_block_potted_dead_bush
minecraft:potted_fern,_model__mc_block_potted_fern
minecraft:potted_flowering_azalea_bush,_model__mc_block_potted_flowering_azalea_bush
minecraft:potted_jungle_sapling,_model__mc_block_potted_jungle_sapling
minecraft:potted_lily_of_the_valley,_model__mc_block_potted_lily_of_the_valley
minecraft:potted_mangrove_propagule,_model__mc_block_potted_lily_of_the_valley
minecraft:potted_oak_sapling,_model__mc_block_potted_oak_sapling
minecraft:potted_orange_tulip,_model__mc_block_potted_orange_tulip
minecraft:potted_oxeye_daisy,_model__mc_block_potted_oxeye_daisy
minecraft:potted_pink_tulip,_model__mc_block_potted_pink_tulip
minecraft:potted_poppy,_model__mc_block_potted_poppy
minecraft:potted_red_mushroom,_model__mc_block_potted_red_mushroom
minecraft:potted_red_tulip,_model__mc_block_potted_red_tulip
minecraft:potted_spruce_sapling,_model__mc_block_potted_spruce_sapling
minecraft:potted_warped_fungus,_model__mc_block_potted_warped_fungus
minecraft:potted_warped_roots,_model__mc_block_potted_warped_roots
minecraft:potted_white_tulip,_model__mc_block_potted_white_tulip
minecraft:potted_wither_rose,_model__mc_block_potted_wither_rose
minecraft:powder_snow,stone
minecraft:powder_snow_cauldron,_model__mc_block_cauldron
minecraft:powered_rail,_model__mc_block_powered_rail
minecraft:prismarine,_mc_block_prismarine
minecraft:prismarine_brick_slab,_mc_block_prismarine_bricks
minecraft:prismarine_brick_stairs,_mc_block_prismarine_bricks
minecraft:prismarine_bricks,_mc_block_prismarine_bricks
minecraft:prismarine_slab,_mc_block_prismarine
minecraft:prismarine_stairs,_mc_block_prismarine
minecraft:prismarine_wall,_mc_block_prismarine
minecraft:pumpkin,_mc_block_pumpkin_side
minecraft:pumpkin_stem,_mc_block_pumpkin_side
minecraft:purple_banner,_model__mc_block_banner_purple
minecraft:purple_bed,_model__mc_block_bed_purple
minecraft:purple_candle,_model__mc_block_candle
minecraft:purple_candle_cake,_mc_block_wool_purple
minecraft:purple_carpet,_model__mc_block_wool_carpet_purple
minecraft:purple_concrete,_mc_block_concrete_purple
minecraft:purple_concrete_powder,_mc_block_concrete_powder_purple
minecraft:purple_glazed_terracotta,_mc_block_glazed_terracotta_purple
minecraft:purple_shulker_box,stone
minecraft:purple_stained_glass,_mc_block_stained_glass_purple
minecraft:purple_stained_glass_pane,_mc_block_stained_glass_purple
minecraft:purple_terracotta,_mc_block_terracotta_purple
minecraft:purple_wall_banner,_model__mc_block_banner_hanging_purple
minecraft:purple_wool,_mc_block_wool_purple
minecraft:purpur_block,_mc_block_purpur_block
minecraft:purpur_pillar,_mc_block_purpur_pillar
minecraft:purpur_slab,_mc_block_purpur_block
minecraft:purpur_stairs,_mc_block_purpur_block
minecraft:quartz_block:0,_mc_block_quartz_block_side
minecraft:quartz_block:1,_mc_block_quartz_bricks
minecraft:quartz_block:2,_mc_block_quartz_pillar
minecraft:quartz_slab,_mc_block_quartz_block_side
minecraft:quartz_stairs,_mc_block_quartz_block_side
minecraft:rail,_model__mc_block_rail
minecraft:raw_copper_block,_mc_block_raw_copper_block
minecraft:raw_gold_block,_mc_block_raw_gold_block
minecraft:raw_iron_block,_mc_block_raw_iron_block
minecraft:red_banner,_model__mc_block_banner_red
minecraft:red_bed,_model__mc_block_bed_red
minecraft:red_candle,_model__mc_block_candle
minecraft:red_candle_cake,_mc_block_wool_red
minecraft:red_carpet,_model__mc_block_wool_carpet_red
minecraft:red_concrete,_mc_block_concrete_red
minecraft:red_concrete_powder,_mc_block_concrete_powder_red
minecraft:red_glazed_terracotta,_mc_block_glazed_terracotta_red
minecraft:red_mushroom,_model__mc_block_red_mushroom
minecraft:red_mushroom_block,_mc_block_red_mushroom_block
minecraft:red_nether_brick_slab,_mc_block_red_nether_bricks
minecraft:red_nether_brick_stairs,_mc_block_red_nether_bricks
minecraft:red_nether_brick_wall,_mc_block_red_nether_bricks
minecraft:red_nether_bricks,_mc_block_red_nether_bricks
minecraft:red_sand,_mc_block_red_sand
minecraft:red_sandstone,_mc_block_red_sandstone
minecraft:red_sandstone_slab,_mc_block_red_sandstone
minecraft:red_sandstone_stairs,_mc_block_red_sandstone
minecraft:red_sandstone_wall,_mc_block_red_sandstone
minecraft:red_shulker_box,stone
minecraft:red_stained_glass,_mc_block_stained_glass_red
minecraft:red_stained_glass_pane,_mc_block_stained_glass_red
minecraft:red_terracotta,_mc_block_terracotta_red
minecraft:red_tulip,_model__mc_block_red_tulip
minecraft:red_wall_banner,_model__mc_block_banner_hanging_red
minecraft:red_wool,_mc_block_wool_red
minecraft:redstone_block,_mc_block_redstone
minecraft:redstone_lamp,_mc_block_redstone_lamp
minecraft:redstone_ore,_mc_block_redstone_ore
minecraft:redstone_torch,_prefabs/_minecraft/Lights/torch_lights.map
minecraft:redstone_wall_torch,_prefabs/_minecraft/misc/wall_torch.map
minecraft:redstone_wire,_model__mc_item_redstone_block
minecraft:reinforced_deepslate,_mc_block_reinforced_deepslate_side
minecraft:repeater,_model__mc_block_repeater_1tick
minecraft:repeating_command_block,_mc_block_repeating_command_block_back
minecraft:respawn_anchor,_mc_block_respawn_anchor_side0
minecraft:rooted_dirt,_mc_block_rooted_dirt
minecraft:rose_bush,_model__mc_block_rose_bush_bottom
minecraft:sand,_mc_block_sand
minecraft:sandstone,_mc_block_sandstone
minecraft:sandstone_slab,_mc_block_sandstone
minecraft:sandstone_stairs,_mc_block_sandstone
minecraft:sandstone_wall,_mc_block_sandstone
minecraft:scaffolding,_mc_block_scaffolding_top
minecraft:sculk,_mc_block_sculk_catalyst_top
minecraft:sculk_catalyst,_mc_block_sculk_catalyst_top
minecraft:sculk_sensor,_mc_block_sculk_catalyst_top
minecraft:sculk_shrieker,_mc_block_sculk_catalyst_top
minecraft:sculk_vein,_mc_block_sculk_catalyst_top
minecraft:sea_lantern,_mc_block_sea_lantern
minecraft:sea_pickle,_model__mc_block_sea_pickle_three
minecraft:seagrass,_model__mc_block_seagrass
minecraft:shroomlight,_mc_block_shroomlight
minecraft:shulker_box,stone
minecraft:skeleton_skull,_model__mc_block_skeleton_skull
minecraft:skeleton_wall_skull,_model__mc_block_skeleton_skull
minecraft:slime_block,_mc_block_slime_block
minecraft:small_amethyst_bud,_model__mc_block_small_amethyst_bud
minecraft:small_dripleaf,_model__mc_block_small_dripleaf
minecraft:smithing_table,_mc_block_smithing_table_front
minecraft:smoker,_mc_block_smoker_front
minecraft:smooth_basalt,_mc_block_smooth_basalt
minecraft:smooth_quartz,_mc_block_quartz_block_bottom
minecraft:smooth_quartz_slab,_mc_block_quartz_block_bottom
minecraft:smooth_quartz_stairs,_mc_block_quartz_block_bottom
minecraft:smooth_red_sandstone,_mc_block_red_sandstone_top
minecraft:smooth_red_sandstone_slab,_mc_block_red_sandstone_top
minecraft:smooth_red_sandstone_stairs,_mc_block_red_sandstone_top
minecraft:smooth_sandstone,_mc_block_red_sandstone_top
minecraft:smooth_sandstone_slab,_mc_block_red_sandstone_top
minecraft:smooth_sandstone_stairs,_mc_block_red_sandstone_top
minecraft:smooth_stone,_mc_block_smooth_stone
minecraft:smooth_stone_slab,_mc_block_smooth_stone_slab_side
minecraft:snow,_mc_block_snow
minecraft:snow_block,_mc_block_snow
minecraft:soul_campfire,_model__mc_block_campfire_soul
minecraft:soul_fire,_model__mc_block_fire_ground
minecraft:soul_lantern,_model__mc_block_hanging_lantern_soul
minecraft:soul_sand,_mc_block_soul_sand
minecraft:soul_soil,_mc_block_soul_soil
minecraft:soul_torch,_prefabs/_minecraft/Lights/torch_lights.map
minecraft:soul_wall_torch,_prefabs/_minecraft/misc/wall_torch.map
minecraft:spawner,_mc_block_spawner
minecraft:sponge,_mc_block_sponge
minecraft:spore_blossom,_mc_block_sponge
minecraft:spruce_button,_prefabs/_minecraft/misc/button.map
minecraft:spruce_door,_model__mc_block_spruce_door
minecraft:spruce_fence,_model__mc_block_fence_post_spruce
minecraft:spruce_fence_gate,_mc_block_spruce_planks
minecraft:spruce_leaves,_mc_block_spruce_leaves_forest
minecraft:spruce_log,_mc_block_spruce_log
minecraft:spruce_planks,_mc_block_spruce_planks
minecraft:spruce_pressure_plate,_model__mc_block_pressure_plate_spruce_up
minecraft:spruce_sapling,_mc_block_spruce_planks
minecraft:spruce_sign,_prefabs/_minecraft/Misc/sign.map
minecraft:spruce_slab,_mc_block_spruce_planks
minecraft:spruce_stairs,_mc_block_spruce_planks
minecraft:spruce_trapdoor,_model__mc_block_spruce_trapdoor
minecraft:spruce_wall_sign,_prefabs/_minecraft/Misc/sign.map
minecraft:spruce_wood,_mc_block_spruce_log
minecraft:sticky_piston,_model__mc_block_piston_sticky
minecraft:stone,stone
minecraft:stone_brick_slab,_mc_block_stone_bricks
minecraft:stone_brick_stairs,_mc_block_stone_bricks
minecraft:stone_brick_wall,_mc_block_stone_bricks
minecraft:stone_bricks,_mc_block_stone_bricks
minecraft:stone_button,_prefabs/_minecraft/misc/button.map
minecraft:stone_pressure_plate,_model__mc_block_pressure_plate_stone_up
minecraft:stone_slab:0,stone
minecraft:stone_stairs,stone
minecraft:stonecutter,_mc_block_stonecutter_bottom
minecraft:stripped_acacia_log,_mc_block_stripped_acacia_log
minecraft:stripped_acacia_wood,_mc_block_stripped_acacia_log
minecraft:stripped_birch_log,_mc_block_stripped_birch_log
minecraft:stripped_birch_wood,_mc_block_stripped_birch_log
minecraft:stripped_crimson_hyphae,_mc_block_stripped_crimson_stem
minecraft:stripped_crimson_stem,_mc_block_stripped_crimson_stem
minecraft:stripped_dark_oak_log,_mc_block_stripped_dark_oak_log
minecraft:stripped_dark_oak_wood,_mc_block_stripped_dark_oak_log
minecraft:stripped_jungle_log,_mc_block_stripped_jungle_log
minecraft:stripped_jungle_wood,_mc_block_stripped_jungle_log
minecraft:stripped_mangrove_log,_mc_block_mangrove_log
minecraft:stripped_mangrove_wood,_mc_block_mangrove_log
minecraft:stripped_oak_log,_mc_block_stripped_oak_log
minecraft:stripped_oak_wood,_mc_block_stripped_oak_log
minecraft:stripped_spruce_log,_mc_block_stripped_spruce_log
minecraft:stripped_spruce_wood,_mc_block_stripped_spruce_log
minecraft:stripped_warped_hyphae,_mc_block_stripped_warped_stem
minecraft:stripped_warped_stem,_mc_block_stripped_warped_stem
minecraft:structure_block,_mc_block_structure_block
minecraft:structure_stone,_mc_block_structure_block
minecraft:sugar_cane,_mc_block_sugar_cane
minecraft:sunflower,_model__mc_block_sunflower_bottom
minecraft:sweet_berry_bush,_model__mc_block_sweet_berry_bush_stage2
minecraft:tall_grass,_model__mc_block_tall_grass_bottom_forest
minecraft:tall_seagrass,_model__mc_block_seagrass
minecraft:target,_mc_block_target_side
minecraft:terracotta,_mc_block_terracotta
minecraft:tinted_glass,_mc_block_tinted_glass
minecraft:tnt,_mc_block_tnt_side
minecraft:torch,_prefabs/_minecraft/misc/groundl_torch.map
minecraft:trapped_chest,_model__mc_block_chest
minecraft:tripwire,_model__mc_block_tripwire
minecraft:tripwire_hook,_model__mc_block_tripwire_hook
minecraft:tube_coral,_mc_block_tube_coral_block
minecraft:tube_coral_block,_mc_block_tube_coral_block
minecraft:tube_coral_fan,_mc_block_tube_coral_block
minecraft:tube_coral_wall_fan,_mc_block_tube_coral_block
minecraft:tuff,_mc_block_tuff
minecraft:turtle_egg,_model__mc_block_turtle_egg_four
minecraft:twisting_vines,_model__mc_block_twisting_vine
minecraft:twisting_vines_plant,_model__mc_block_twisting_vine_plant
minecraft:verdant_froglight,_mc_block_verdant_froglight_side
minecraft:vine,_model__mc_block_vine_forest
minecraft:stone_air,stone
minecraft:wall_torch,_prefabs/_minecraft/misc/wall_torch.map
minecraft:warped_button,_prefabs/_minecraft/misc/button.map
minecraft:warped_door,_model__mc_block_warped_door
minecraft:warped_fence,_model__mc_block_fence_post_warped
minecraft:warped_fence_gate,_mc_block_warped_planks
minecraft:warped_fungus,_mc_block_warped_planks
minecraft:warped_hyphae,_mc_block_warped_planks
minecraft:warped_nylium,_mc_block_warped_nylium
minecraft:warped_planks,_mc_block_warped_planks
minecraft:warped_pressure_plate,_model__mc_block_pressure_plate_warped_up
minecraft:warped_roots,_mc_block_warped_roots
minecraft:warped_sign,_prefabs/_minecraft/Misc/sign.map
minecraft:warped_slab,_mc_block_warped_planks
minecraft:warped_stairs,_mc_block_warped_planks
minecraft:warped_stem,_mc_block_warped_stem
minecraft:warped_trapdoor,_model__mc_block_warped_trapdoor
minecraft:warped_wall_sign,_prefabs/_minecraft/Misc/sign.map
minecraft:warped_wart_block,_mc_block_warped_wart_block
minecraft:water,_mc_block_water_flow_noshader
minecraft:water_cauldron,_model__mc_block_cauldron
minecraft:waxed_copper_block,_mc_block_copper_block
minecraft:waxed_cut_copper,_mc_block_cut_copper
minecraft:waxed_cut_copper_slab,_mc_block_cut_copper
minecraft:waxed_cut_copper_stairs,_mc_block_cut_copper
minecraft:waxed_exposed_copper,_mc_block_exposed_copper
minecraft:waxed_exposed_cut_copper,_mc_block_exposed_cut_copper
minecraft:waxed_exposed_cut_copper_slab,_mc_block_exposed_cut_copper
minecraft:waxed_exposed_cut_copper_stairs,_mc_block_exposed_cut_copper
minecraft:waxed_oxidized_copper,_mc_block_oxidized_copper
minecraft:waxed_oxidized_cut_copper,_mc_block_oxidized_cut_copper
minecraft:waxed_oxidized_cut_copper_slab,_mc_block_oxidized_cut_copper
minecraft:waxed_oxidized_cut_copper_stairs,_mc_block_oxidized_cut_copper
minecraft:waxed_weathered_copper,_mc_block_weathered_copper
minecraft:waxed_weathered_cut_copper,_mc_block_weathered_cut_copper
minecraft:waxed_weathered_cut_copper_slab,_mc_block_weathered_cut_copper
minecraft:waxed_weathered_cut_copper_stairs,_mc_block_weathered_cut_copper
minecraft:weathered_copper,_mc_block_weathered_copper
minecraft:weathered_cut_copper,_mc_block_weathered_cut_copper
minecraft:weathered_cut_copper_slab,_mc_block_weathered_cut_copper
minecraft:weathered_cut_copper_stairs,_mc_block_weathered_cut_copper
minecraft:weeping_vines,_model__mc_block_weeping_vines
minecraft:weeping_vines_plant,_model__mc_block_weeping_vines_plant
minecraft:wet_sponge,_mc_block_sponge_wet
minecraft:wheat,_model__mc_block_crop_wheat_stage7
minecraft:white_banner,_model__mc_block_banner_white
minecraft:white_bed,_model__mc_block_bed
minecraft:white_candle,_model__mc_block_candle
minecraft:white_candle_cake,_mc_block_wool
minecraft:white_carpet,_model__mc_block_wool_carpet
minecraft:concrete:0,_mc_block_concrete
minecraft:white_concrete_powder,_mc_block_concrete_powder
minecraft:white_glazed_terracotta,_mc_block_glazed_terracotta_white
minecraft:white_shulker_box,stone
minecraft:white_stained_glass,_mc_block_stained_glass
minecraft:white_stained_glass_pane,_mc_block_stained_glass
minecraft:white_terracotta,_mc_block_terracotta
minecraft:white_tulip,_model__mc_block_white_tulip
minecraft:white_wall_banner,_model__mc_block_banner_hanging_white
minecraft:white_wool,_mc_block_wool
minecraft:wither_rose,_model__mc_block_wither_rose
minecraft:wither_skeleton_skull,_model__mc_block_wither_skeleton_skull
minecraft:wither_skeleton_wall_skull,_model__mc_block_wither_skeleton_skull
minecraft:yellow_banner,_model__mc_block_banner_yellow
minecraft:yellow_bed,_model__mc_block_bed_yellow
minecraft:yellow_candle,_model__mc_block_candle
minecraft:yellow_candle_cake,_mc_block_wool_yellow
minecraft:yellow_carpet,_model__mc_block_wool_carpet_yellow
minecraft:concrete:4,_mc_block_concrete_yellow
minecraft:yellow_concrete_powder,_mc_block_concrete_powder_yellow
minecraft:yellow_glazed_terracotta,_mc_block_glazed_terracotta_yellow
minecraft:yellow_shulker_box,stone
minecraft:yellow_stained_glass,_mc_block_stained_glass_yellow
minecraft:yellow_stained_glass_pane,_mc_block_stained_glass_yellow
minecraft:yellow_terracotta,_mc_block_terracotta_yellow
minecraft:yellow_wall_banner,_model__mc_block_banner_hanging_yellow
minecraft:yellow_wool,_mc_block_wool_yellow
minecraft:zombie_head,_model__mc_block_zombie_head
minecraft:zombie_wall_head,_model__mc_block_zombie_head
